,month,day,temp_dailyMin,temp_minGround,temp_dailyMean,temp_dailyMax,temp_7h,temp_14h,temp_19h,hum_dailyMean,hum_7h,hum_14h,hum_19h
0,1,1,-4.2,-4.3,-0.3,3.6,-3.2,2.5,3.5,88,85,93,85
1,1,2,0.2,-1.5,4.7,9.2,1.3,9.0,5.1,77,95,48,89
2,1,3,3.1,2.1,4.7,6.3,4.5,5.9,3.1,68,66,53,86
3,1,4,0.4,0.0,2.6,4.7,2.5,4.5,2.9,77,90,60,81
4,1,5,1.0,0.6,2.1,3.2,2.2,1.6,1.2,88,70,95,98
5,1,6,-1.8,0.1,0.8,3.4,1.3,2.9,-1.7,76,85,62,81
6,1,7,-3.9,-5.4,-2.5,-1.1,-2.9,-1.4,-2.9,80,69,74,97
7,1,8,-3.9,-4.1,-2.4,-0.9,-3.5,-1.6,-1.0,92,94,90,91
8,1,9,-1.0,-1.2,5.2,11.3,4.4,9.1,9.0,69,71,61,74
9,1,10,8.5,6.7,13.1,17.7,10.6,17.6,16.2,,,,
10,1,11,3.9,5.0,10.1,16.3,6.2,4.9,4.2,71,89,65,58
11,1,12,3.0,2.0,5.3,7.5,4.4,7.2,6.5,61,74,56,54
12,1,13,1.5,0.4,6.4,11.2,3.2,11.0,2.5,60,54,40,85
13,1,14,-0.2,-2.4,3.6,7.3,0.2,5.5,5.1,87,97,76,88
14,1,15,0.1,-2.7,3.3,6.5,0.7,6.1,4.0,80,88,63,88
15,1,16,2.3,1.9,3.8,5.2,3.3,4.8,2.3,92,96,85,94
16,1,17,1.4,-0.5,4.3,7.1,3.3,7.0,4.7,88,97,73,95
17,1,18,3.4,2.6,4.7,6.0,3.8,5.2,3.7,82,86,75,85
18,1,19,2.1,2.0,3.0,3.9,2.2,3.8,3.2,88,92,84,89
19,1,20,1.8,1.7,3.1,4.4,2.6,4.0,3.3,88,97,85,81
20,1,21,0.0,-2.4,2.4,4.8,2.1,3.7,4.7,80,73,78,88
21,1,22,4.3,3.4,5.6,6.9,5.3,6.6,6.6,87,94,85,83
22,1,23,3.8,4.0,5.2,6.6,4.3,4.7,4.3,88,91,86,88
23,1,24,2.0,2.4,3.2,4.4,2.6,3.2,2.5,80,83,73,83
