,month,day,temp_dailyMin,temp_minGround,temp_dailyMean,temp_dailyMax,temp_7h,temp_14h,temp_19h,hum_dailyMean,hum_7h,hum_14h,hum_19h
0,1,1,0.8,-1.2,2.2,3.6,2.2,3.1,3.5,98,99,97,99
1,1,2,0.4,0.4,2.1,3.7,0.5,2.6,3.3,95,100,92,93
2,1,3,3.3,2.7,6.6,9.8,6.6,8.8,4.7,78,88,56,91
3,1,4,3.6,1.0,7.2,10.7,4.8,8.0,5.3,76,83,69,75
4,1,5,4.3,2.3,6.7,9.1,5.5,8.0,6.3,67,46,71,84
5,1,6,3.5,3.0,5.2,6.8,4.3,6.2,3.9,60,70,56,55
6,1,7,2.8,2.2,4.3,5.7,3.9,4.9,2.8,79,72,68,96
7,1,8,2.4,1.7,3.9,5.3,4.6,4.2,3.9,88,81,96,88
8,1,9,3.2,2.1,4.6,6.0,4.7,3.9,4.3,83,84,88,76
9,1,10,2.9,2.2,5.2,7.5,5.8,6.4,6.2,71,88,64,61
10,1,11,4.2,2.7,6.7,9.1,6.2,8.0,7.6,66,71,63,63
11,1,12,5.3,5.2,7.5,9.6,6.7,9.1,7.2,59,65,51,60
12,1,13,0.8,2.7,4.5,8.1,4.8,1.4,2.4,81,68,97,77
13,1,14,1.7,0.4,3.2,4.6,2.5,3.6,2.5,63,71,59,58
14,1,15,0.0,-0.2,1.3,2.5,0.4,1.6,0.1,62,70,51,65
15,1,16,-1.7,-1.9,0.2,2.0,-1.6,1.5,-0.6,58,62,54,59
16,1,17,-1.8,-2.3,-0.6,0.6,-0.9,-0.2,0.5,96,100,96,91
17,1,18,0.5,-0.7,3.2,5.8,1.0,5.6,3.0,55,74,47,44
18,1,19,-0.8,-3.7,3.8,8.3,3.5,5.3,8.3,93,93,95,92
19,1,20,2.2,2.5,6.1,9.9,3.6,4.9,2.3,85,96,78,81
20,1,21,0.5,-1.0,2.5,4.5,1.5,4.4,0.5,77,71,59,100
21,1,22,0.5,0.0,4.5,8.4,4.2,6.7,6.1,74,85,63,75
22,1,23,5.1,4.6,6.9,8.7,6.3,7.2,5.2,68,62,64,78
23,1,24,0.4,-1.0,3.2,5.9,0.9,5.5,3.0,85,100,72,83
